Ticker;Pre�o Cota (R$);Tipo;DY (%);Dividendo/Cota (R$);P/VP;Patrim. L��q (R$);N� de Cotas;Data
ABCP11;8438;Shoppings;91;777;79;502950000;4709082;10/09/2025
AIEC11;4615;Lajes Corporativas;129;603;59;374251000;4824987;10/09/2025
AJFI11;75;Títulos e Val. Mob.;107;81;62;384211000;31625978;10/09/2025
ALMI11;6920;Lajes Corporativas;63;4388;33;234419000;111177;10/09/2025
ALZR11;100;Híbrido;95;17;93;1319770000;122266250;10/09/2025
ANCR11;3750;Shoppings;14;535;34;2947370000;26735046;10/09/2025
APTO11;839;Híbrido;139;109;86;44996200;4612227;10/09/2025
APXM11;8579;Híbrido;54;425;7;349008000;2829142;10/09/2025
AROA11;101;Outros;74;5;106;159984000;167926832;10/09/2025
ATSA11;4922;Shoppings;30;153;65;133138000;1751141;10/09/2025
AURB11;728;Logística;6;41;93;70011500;898514;10/09/2025
BARI11;792;Títulos e Val. Mob.;136;1076;87;422775000;4634191;10/09/2025
BBFI11;3490;Lajes Corporativas;0;0;5;90762500;130000;10/09/2025
BBIG11;696;Shoppings;142;10;75;923685000;99120994;10/09/2025
BBRC11;9937;Outros;128;1284;95;166088000;1590000;10/09/2025
BGRB11;10001;Lajes Corporativas;52;484;82;234956000;1932933;10/09/2025
BIME11;695;Híbrido;151;107;83;49073300;5845602;10/09/2025
BIPD11;10000;Títulos e Val. Mob.;47;4836;98;113223000;110439;10/09/2025
BLCA11;9438;Lajes Corporativas;67;635;73;206442000;1600000;10/09/2025
BLMG11;318;Outros;136;416;45;333107000;4674548;10/09/2025
BLMO11;8395;Lajes Corporativas;70;59;8;104310000;994814;10/09/2025
BLOG11;1008;Títulos e Val. Mob.;49;5;89;346923000;30796704;10/09/2025
BMLC11;9699;Híbrido;87;846;92;105620000;998405;10/09/2025
BNFS11;7073;Outros;186;1335;91;54689400;700000;10/09/2025
BPML11;7781;Híbrido;155;1252;62;939187000;7441745;10/09/2025
BRCO11;1088;Logística;97;1062;92;1874840000;15905133;10/09/2025
BRCR11;4038;Híbrido;136;556;48;2263420000;26638202;10/09/2025
BRIM11;4610;Residencial;171;13953;124;46084100;124137;10/09/2025
BROF11;5427;Híbrido;115;637;5;1256900000;11610812;10/09/2025
BTAL11;7679;Outros;130;1026;68;674618000;5982736;10/09/2025
BTHI11;4199;Hotel;106;451;61;632619000;9218512;10/09/2025
BTLG11;990;Híbrido;94;943;95;4506950000;43249151;10/09/2025
BTRA11;504;Outros;88;445;45;374961000;3364559;10/09/2025
BTSI11;10959;Híbrido;83;802;94;675582000;5775335;10/09/2025
BTYU11;98;Híbrido;158;151;97;303618000;30000000;10/09/2025
BVAR11;117471;Outros;58;6954;149;491832000;625540;10/09/2025
CARE11;113;Híbrido;0;0;16;249882000;35769919;10/09/2025
CBOP11;2299;Lajes Corporativas;43;10;34;95214300;1415000;10/09/2025
CEOC11;419;Lajes Corporativas;130;552;58;132131000;1815696;10/09/2025
CFHI11;3200;Outros;130;534;93;32721000;94600;10/09/2025
CFII11;6500;Híbrido;173;1537;66;125311000;126319;10/09/2025
CJCT11;6095;Lajes Corporativas;32;194;84;228971000;3140000;10/09/2025
CNES11;123;Lajes Corporativas;64;8;16;258457000;34134825;10/09/2025
